id,safra,y,VAR_6,VAR_20,VAR_19,VAR_25,VAR_44,VAR_12,VAR_9,VAR_69,VAR_77,VAR_57,VAR_33,VAR_59,VAR_53
1,201404,0,3277.0,8,45.0,12.0,11.0,299.0,500.0,156.38,0.0,45,18.0,95.54,3380.0
2,201407,0,2443.0,12,18.0,9.0,9.0,224.0,1000.0,707.84,54.0,60,13.0,97.73,1000.0
3,201405,0,1824.0,12,2.0,3.0,12.0,106.0,1893.35,471.86,121.98,31,2.0,294.57,1893.35
4,201412,0,3796.0,12,11.0,0.0,6.0,,3000.0,119.96,0.0,76,3.0,,3000.0
5,201403,1,437.0,12,0.0,0.0,0.0,,2000.0,,,38,0.0,,2946.29
6,201405,0,140.0,10,0.0,0.0,0.0,,400.0,,,33,0.0,,400.0
7,201404,0,218.0,5,0.0,0.0,0.0,,953.42,,,39,0.0,,953.42
8,201409,0,301.0,9,0.0,0.0,0.0,,800.0,,,35,0.0,,
9,201408,0,858.0,12,0.0,0.0,4.0,,1000.0,212.47,0.0,49,0.0,164.16,2936.72
10,201404,0,1716.0,12,7.0,12.0,12.0,924.0,1200.0,1655.3,234.86,50,1.0,586.4,2700.0
11,201403,0,1913.0,12,12.0,11.0,0.0,313.0,1000.0,,,52,3.0,,1000.0
12,201408,0,2941.0,12,5.0,0.0,0.0,,1000.0,29.99,0.0,45,7.0,177.13,1000.0
13,201411,1,489.0,12,0.0,0.0,0.0,,1000.0,,,45,0.0,,
14,201401,0,1903.0,12,14.0,11.0,12.0,352.0,750.0,431.87,0.0,52,1.0,199.96,1500.0
15,201412,0,1228.0,6,0.0,3.0,10.0,628.0,500.0,512.48,166.53,41,0.0,244.21,
16,201402,1,1542.0,12,5.0,0.0,10.0,,1500.0,542.8,196.97,42,1.0,144.0,3939.54
17,201412,0,1100.0,12,0.0,0.0,12.0,244.0,2500.0,558.94,0.0,66,0.0,484.46,1500.0
18,201404,0,407.0,12,0.0,0.0,0.0,,600.0,,,45,0.0,,600.0
19,201407,1,203.0,12,0.0,0.0,0.0,,1985.5,,,51,0.0,,1985.5
20,201411,0,1466.0,12,0.0,6.0,6.0,89.0,2000.0,558.05,0.0,54,1.0,,2100.0
21,201406,0,101.0,12,0.0,0.0,0.0,,600.0,,,27,0.0,,1100.0
22,201402,1,410.0,12,0.0,0.0,0.0,,2500.0,,,68,0.0,,4041.15
23,201404,1,3418.0,12,41.0,0.0,4.0,,3000.0,127.93,0.0,44,10.0,,6018.18
24,201401,0,210.0,12,0.0,0.0,0.0,,1000.0,,,45,0.0,,2000.0
25,201401,0,628.0,12,0.0,0.0,0.0,,2000.0,,,67,0.0,25.09,4000.0
26,201402,1,275.0,12,0.0,0.0,0.0,,1218.23,,,65,0.0,,2436.46
27,201401,0,887.0,5,0.0,0.0,6.0,,500.0,397.11,134.49,55,0.0,327.28,3148.58
28,201404,0,626.0,12,0.0,0.0,0.0,,1200.0,,,56,0.0,79.37,1200.0
29,201406,0,1302.0,8,0.0,6.0,9.0,295.0,2000.0,297.87,0.0,26,0.0,166.92,2640.0
30,201405,0,4926.0,12,19.0,9.0,12.0,751.0,1000.0,1178.47,0.0,46,16.0,488.15,1700.0
31,201412,0,2521.0,7,28.0,7.0,12.0,283.0,500.0,749.77,0.0,35,6.0,421.23,838.0
32,201411,0,3758.0,12,66.0,11.0,12.0,467.0,600.0,344.42,48.49,32,10.0,407.0,
33,201407,0,3975.0,12,39.0,6.0,11.0,1319.0,2759.03,1466.85,173.78,46,32.0,1422.43,2759.03
34,201408,0,1091.0,12,0.0,0.0,11.0,105.0,1000.0,804.56,116.53,36,0.0,378.07,1000.0
35,201407,0,309.0,12,0.0,0.0,0.0,,1735.39,,,32,0.0,,1735.39
36,201411,1,612.0,12,0.0,0.0,0.0,,1600.0,,,41,0.0,155.53,2000.0
37,201403,0,580.0,12,0.0,0.0,0.0,,692.96,,,25,0.0,0.0,1202.14
38,201405,0,2041.0,12,18.0,1.0,3.0,75.0,1000.0,400.49,103.34,55,2.0,366.86,2000.0
39,201401,1,2653.0,12,16.0,0.0,0.0,,1433.11,,,32,3.0,,3224.25
40,201408,1,878.0,12,0.0,0.0,4.0,,1200.0,763.83,77.31,46,0.0,519.86,2608.04
41,201410,0,1285.0,5,0.0,5.0,12.0,619.0,700.0,766.7,24.45,31,0.0,473.62,730.0
42,201401,0,4414.0,12,86.0,12.0,12.0,574.0,1000.0,1291.18,0.0,69,3.0,722.08,2000.0
43,201407,1,1622.0,12,5.0,6.0,0.0,110.0,2000.0,,,37,1.0,,2000.0
44,201401,1,495.0,6,0.0,0.0,0.0,,200.0,,,32,0.0,,400.0
45,201405,0,1793.0,6,10.0,10.0,12.0,239.0,700.0,754.79,0.0,35,1.0,408.5,4208.39
46,201402,0,2157.0,10,9.0,0.0,3.0,,1000.0,142.91,0.0,41,7.0,263.98,3600.0
47,201411,0,254.0,8,0.0,0.0,0.0,,600.0,,,64,0.0,,
48,201412,0,310.0,12,0.0,0.0,0.0,,1200.0,,,57,0.0,,
49,201412,1,904.0,10,0.0,0.0,5.0,,300.0,84.98,0.0,33,0.0,90.0,
50,201406,0,1840.0,12,1.0,0.0,3.0,,1000.0,372.16,130.27,30,1.0,279.71,1000.0
51,201406,0,1016.0,10,0.0,0.0,9.0,,1692.0,719.13,0.0,42,0.0,361.63,3292.0
52,201405,0,875.0,12,0.0,0.0,2.0,,2300.0,42.5,0.0,57,0.0,43.53,6300.0
53,201401,1,2944.0,10,17.0,0.0,1.0,,1300.0,138.94,0.0,31,4.0,227.72,3100.0
54,201405,0,1378.0,4,0.0,4.0,0.0,,1000.0,,,46,0.0,0.0,5500.0
55,201409,1,2692.0,12,10.0,0.0,1.0,,2500.0,,,39,3.0,322.73,6518.06
56,201410,0,,12,,,,,500.0,,,56,,,600.0
57,201401,1,1626.0,10,5.0,4.0,6.0,148.0,800.0,193.9,63.94,66,1.0,276.74,1600.0
58,201410,0,,12,,,,,1200.0,,,70,,,4000.0
59,201411,0,2117.0,12,19.0,7.0,6.0,399.0,2289.18,168.84,52.86,44,3.0,134.05,
60,201405,1,624.0,12,0.0,0.0,0.0,,1878.36,,,35,0.0,39.71,1878.36
61,201405,1,2125.0,12,19.0,5.0,9.0,331.0,1500.0,173.94,0.0,29,3.0,146.98,7425.0
62,201410,0,241.0,6,0.0,0.0,0.0,,320.0,,,41,0.0,,
63,201404,0,276.0,12,0.0,0.0,0.0,,1000.0,,,73,0.0,,1000.0
64,201407,0,733.0,6,0.0,0.0,0.0,,600.0,219.88,0.0,41,0.0,270.29,600.0
65,201406,0,694.0,6,0.0,0.0,0.0,,1000.0,,,71,0.0,198.81,2600.0
66,201403,1,995.0,10,0.0,0.0,9.0,,1000.0,222.94,0.0,51,0.0,7.72,2160.0
67,201410,0,2868.0,12,32.0,0.0,0.0,,1500.0,,,47,4.0,,
68,201401,0,1930.0,12,12.0,12.0,10.0,255.0,500.0,404.78,124.88,37,4.0,230.3,1000.0
69,201405,0,809.0,6,0.0,0.0,5.0,,500.0,482.48,153.15,32,0.0,419.79,500.0
70,201404,0,226.0,12,0.0,0.0,0.0,,1000.0,,,30,0.0,,1000.0
71,201407,0,4774.0,12,27.0,0.0,11.0,,3000.0,306.32,0.0,70,12.0,225.89,8607.81
72,201411,0,2899.0,12,20.0,0.0,6.0,,700.0,146.95,0.0,63,6.0,,1400.0
73,201402,0,461.0,12,0.0,0.0,0.0,,819.0,,,71,0.0,,1638.0
74,201408,0,3287.0,12,13.0,2.0,8.0,257.0,1960.3,948.72,271.93,35,13.0,604.08,1960.3
75,201402,1,876.0,12,0.0,0.0,5.0,,2668.0,231.87,0.0,38,0.0,170.23,9775.51
76,201409,0,635.0,12,0.0,0.0,0.0,,791.06,,,35,0.0,139.85,
77,201408,1,341.0,5,0.0,0.0,0.0,,390.0,,,31,0.0,,
78,201411,1,391.0,12,0.0,0.0,0.0,,1000.0,,,47,0.0,,
79,201402,0,1206.0,12,0.0,1.0,12.0,366.0,1000.0,452.0,149.7,45,0.0,426.8,5703.54
80,201405,0,1406.0,12,0.0,6.0,11.0,331.0,1000.0,222.68,0.0,44,0.0,141.85,1000.0
81,201401,0,4632.0,12,48.0,9.0,11.0,1037.0,900.0,109.97,0.0,69,22.0,324.16,1800.0
82,201408,0,1045.0,6,0.0,0.0,8.0,,1000.0,409.92,0.0,32,0.0,199.71,4549.46
83,201404,0,1004.0,10,0.0,0.0,8.0,,400.0,466.12,0.0,32,0.0,485.65,400.0
84,201407,0,1068.0,12,0.0,0.0,11.0,,1500.0,262.97,64.45,55,0.0,27.24,4500.0
85,201404,0,706.0,10,0.0,0.0,0.0,,600.0,,,31,0.0,282.71,600.0
86,201402,1,875.0,12,0.0,0.0,4.0,,500.0,312.58,0.0,32,0.0,174.62,1320.0
87,201408,0,2444.0,12,29.0,11.0,11.0,528.0,1200.0,394.93,0.0,68,2.0,307.95,6446.4
88,201404,0,999.0,12,0.0,0.0,9.0,251.0,713.41,136.39,28.44,68,0.0,159.32,2913.41
89,201404,0,684.0,12,0.0,0.0,0.0,,800.0,398.09,119.15,45,0.0,273.89,800.0
90,201402,1,191.0,12,0.0,0.0,0.0,,2500.0,,,25,0.0,,8800.0
91,201410,1,2177.0,12,16.0,2.0,1.0,,1000.0,65.97,0.0,74,3.0,167.14,
92,201407,0,553.0,8,0.0,0.0,0.0,,800.0,,,31,0.0,0.0,800.0
93,201409,0,3515.0,12,52.0,9.0,11.0,344.0,1500.0,581.72,28.91,54,13.0,257.36,2400.0
94,201410,0,840.0,12,0.0,0.0,3.0,,1085.98,279.3,0.0,24,0.0,491.74,1522.53
95,201408,1,565.0,12,0.0,0.0,0.0,,800.0,,,36,0.0,0.0,800.0
96,201408,0,604.0,12,0.0,0.0,0.0,,1042.07,,,29,0.0,45.89,1042.07
97,201407,0,1378.0,6,0.0,8.0,12.0,736.0,1000.0,284.89,0.0,47,0.0,211.64,2200.0
98,201412,1,557.0,10,0.0,0.0,0.0,,950.0,,,45,0.0,0.0,
99,201407,0,3009.0,3,38.0,3.0,12.0,870.0,1000.0,1114.65,192.0,46,1.0,770.8,1000.0
100,201405,0,292.0,12,0.0,0.0,0.0,,700.0,,,45,0.0,,700.0
101,201412,0,3023.0,10,7.0,0.0,6.0,,2000.0,162.34,0.0,39,28.0,,894.0
102,201402,0,707.0,6,0.0,0.0,0.0,,150.0,,,35,0.0,161.7,300.0
103,201410,0,2913.0,12,16.0,0.0,0.0,,800.0,,,45,7.0,,
104,201401,1,529.0,12,0.0,0.0,0.0,,1291.73,,,48,0.0,,2583.46
105,201408,1,165.0,12,0.0,0.0,0.0,,800.0,,,30,0.0,,800.0
106,201401,0,223.0,6,0.0,0.0,0.0,,260.0,,,37,0.0,,520.0
107,201402,0,1655.0,12,6.0,10.0,12.0,932.0,1000.0,502.83,0.0,55,1.0,372.41,3000.0
108,201405,0,641.0,12,0.0,0.0,0.0,,1550.0,,,52,0.0,51.85,1550.0
109,201407,1,217.0,12,0.0,0.0,0.0,,800.0,,,44,0.0,,800.0
110,201406,1,244.0,12,0.0,0.0,0.0,,1500.0,,,62,0.0,,1500.0
111,201406,0,683.0,12,0.0,0.0,0.0,,1000.0,184.8,65.81,55,0.0,256.26,1000.0
112,201410,1,2806.0,12,3.0,0.0,6.0,,1000.0,545.12,189.22,32,2.0,,
113,201407,0,1170.0,12,0.0,2.0,12.0,298.0,1000.0,771.02,163.72,49,0.0,315.54,3803.87
114,201401,0,210.0,12,0.0,0.0,0.0,,1294.58,,,32,0.0,,3883.74
115,201402,0,801.0,12,0.0,0.0,3.0,,1148.0,268.99,0.0,58,0.0,379.61,2296.0
116,201412,1,1192.0,12,0.0,2.0,10.0,149.0,1539.93,544.07,124.83,31,0.0,260.3,
117,201403,1,987.0,12,0.0,0.0,10.0,,1000.0,180.53,66.18,45,0.0,,1260.0
118,201408,0,157.0,4,0.0,0.0,0.0,,700.0,,,22,0.0,,700.0
119,201406,0,600.0,12,0.0,0.0,0.0,,2000.0,,,29,0.0,0.0,2000.0
120,201405,0,1614.0,12,3.0,8.0,12.0,309.0,1380.0,418.84,0.0,40,2.0,178.8,4380.0
121,201404,0,218.0,12,0.0,0.0,0.0,,153.78,,,38,0.0,,153.78
122,201402,1,357.0,12,0.0,0.0,0.0,,1275.0,,,54,0.0,,2550.0
123,201411,0,792.0,12,0.0,0.0,2.0,,1000.0,30.59,0.0,38,0.0,35.36,3000.0
124,201405,0,2450.0,12,17.0,6.0,10.0,239.0,1000.0,,,31,11.0,205.91,1000.0
125,201405,0,455.0,12,0.0,0.0,0.0,,1776.05,,,48,0.0,,2776.05
126,201404,1,418.0,12,0.0,0.0,0.0,,1200.0,,,47,0.0,,1200.0
127,201412,0,1570.0,12,1.0,4.0,12.0,351.0,1000.0,1217.71,0.0,37,1.0,579.27,
128,201402,0,1915.0,12,9.0,11.0,12.0,670.0,1500.0,663.84,0.0,28,6.0,653.73,3400.0
129,201408,0,444.0,12,0.0,0.0,0.0,,800.0,,,37,0.0,,1265.64
130,201408,0,511.0,10,0.0,0.0,0.0,,500.0,,,33,0.0,,500.0
131,201401,0,479.0,12,0.0,0.0,0.0,,250.0,,,57,0.0,,500.0
132,201408,0,301.0,12,0.0,0.0,0.0,,3000.0,,,73,0.0,,3000.0
133,201407,0,596.0,12,0.0,0.0,0.0,,2400.0,,,41,0.0,114.6,4400.0
134,201406,1,177.0,12,0.0,0.0,0.0,,919.0,,,53,0.0,,1434.32
135,201411,0,900.0,12,0.0,0.0,3.0,,1000.0,37.98,0.0,24,0.0,32.6,2190.0
136,201407,0,2916.0,12,23.0,7.0,3.0,194.0,1200.0,,,33,16.0,,7584.78
137,201405,0,805.0,12,0.0,0.0,6.0,,1000.0,482.58,167.67,59,0.0,358.45,2000.0
138,201406,0,1455.0,12,0.0,9.0,7.0,256.0,3000.0,805.67,169.81,55,0.0,246.31,793.94
139,201411,0,330.0,10,0.0,0.0,0.0,,610.0,,,62,0.0,,
140,201408,1,1133.0,10,0.0,0.0,11.0,19.0,700.0,267.18,0.0,30,0.0,373.15,
141,201401,0,730.0,12,0.0,0.0,0.0,,2000.0,159.94,0.0,48,0.0,183.4,5000.0
142,201408,0,252.0,12,0.0,0.0,0.0,,1000.0,,,32,0.0,,1000.0
143,201406,0,516.0,4,0.0,0.0,0.0,,400.0,,,30,0.0,,2356.08
144,201409,1,457.0,12,0.0,0.0,0.0,,1400.0,,,44,0.0,,
145,201409,0,2693.0,3,8.0,2.0,3.0,,910.49,718.97,232.08,45,5.0,595.74,
146,201405,0,704.0,5,0.0,0.0,0.0,,500.0,251.91,0.0,33,0.0,377.9,500.0
147,201402,1,2706.0,12,28.0,1.0,0.0,,568.83,,,45,9.0,0.0,1137.66
148,201408,0,1115.0,10,0.0,0.0,12.0,45.0,1000.0,462.56,152.1,44,0.0,201.48,2500.0
149,201408,0,627.0,12,0.0,0.0,0.0,,807.0,,,47,0.0,73.31,807.0
150,201405,1,876.0,12,0.0,0.0,4.0,,1000.0,268.54,0.0,37,0.0,223.27,2300.0
151,201408,0,4225.0,3,52.0,0.0,12.0,29.0,560.0,3604.72,1096.32,57,6.0,1031.65,2560.0
152,201411,0,1127.0,5,0.0,0.0,12.0,314.0,400.0,696.24,117.31,34,0.0,334.22,
153,201408,0,1258.0,12,0.0,5.0,11.0,205.0,2252.69,844.14,91.54,57,0.0,379.0,11035.71
154,201409,0,1786.0,12,8.0,8.0,7.0,267.0,2432.26,255.9,0.0,45,2.0,,13000.0
155,201403,1,1034.0,12,0.0,1.0,7.0,,2458.39,679.22,0.0,33,0.0,145.49,16468.15
156,201403,0,452.0,12,0.0,0.0,0.0,,751.62,,,33,0.0,,751.62
157,201405,0,893.0,12,0.0,0.0,5.0,,1000.0,845.73,0.0,31,0.0,426.47,1000.0
158,201408,0,808.0,12,0.0,0.0,3.0,,943.45,346.84,0.0,37,0.0,387.07,943.45
159,201402,1,312.0,12,0.0,0.0,0.0,,1000.0,,,47,0.0,,2000.0
160,201409,0,333.0,8,0.0,0.0,0.0,,400.0,,,38,0.0,,
161,201409,1,2586.0,12,6.0,0.0,9.0,,1500.0,1348.34,403.22,54,3.0,112.0,2156.14
162,201408,0,1257.0,10,0.0,5.0,12.0,335.0,1200.0,677.54,0.0,46,0.0,467.44,4800.0
163,201406,1,622.0,12,0.0,0.0,0.0,,2971.59,,,36,0.0,54.67,2971.59
164,201409,0,440.0,5,0.0,0.0,0.0,,548.46,,,29,0.0,,
165,201406,1,641.0,12,0.0,0.0,0.0,,954.47,,,34,0.0,33.89,4775.33
166,201407,0,2433.0,12,13.0,7.0,10.0,434.0,1196.0,918.96,255.15,39,4.0,657.69,3114.5
167,201406,0,2799.0,12,38.0,10.0,11.0,720.0,1492.0,1019.26,271.5,41,4.0,815.65,6392.0
168,201408,1,232.0,12,0.0,0.0,0.0,,2600.0,,,59,0.0,,4800.0
169,201407,0,1919.0,12,5.0,5.0,7.0,138.0,1000.0,298.95,0.0,39,3.0,198.07,1000.0
170,201410,1,553.0,12,0.0,0.0,0.0,,600.0,,,54,0.0,0.0,80.57
171,201404,0,313.0,12,0.0,0.0,0.0,,1000.0,,,53,0.0,,1000.0
172,201406,1,359.0,12,0.0,0.0,0.0,,330.0,,,46,0.0,,330.0
173,201403,0,992.0,12,0.0,0.0,6.0,,1000.0,141.94,0.0,43,0.0,59.48,1000.0
174,201404,0,2907.0,12,29.0,9.0,12.0,698.0,2000.0,864.07,93.44,61,15.0,370.68,4800.0
175,201412,1,822.0,12,0.0,0.0,7.0,,1000.0,481.95,172.78,37,0.0,319.05,2000.0
176,201409,1,364.0,12,0.0,0.0,0.0,,2454.88,,,40,0.0,,
177,201404,0,3434.0,12,3.0,0.0,3.0,,1500.0,23.98,0.0,31,15.0,219.69,2214.82
178,201407,1,694.0,5,0.0,0.0,0.0,,400.0,441.63,148.29,32,0.0,307.55,400.0
179,201403,0,1076.0,10,0.0,0.0,6.0,,1000.0,439.99,0.0,47,0.0,79.85,2000.0
180,201404,0,2553.0,12,18.0,0.0,3.0,,1000.0,782.64,0.0,41,5.0,675.35,3700.0
181,201412,1,442.0,9,0.0,0.0,0.0,,1500.0,,,44,0.0,,500.0
182,201402,0,556.0,3,0.0,0.0,0.0,,200.0,,,72,0.0,,400.0
183,201403,0,444.0,10,0.0,0.0,0.0,,660.91,,,54,0.0,,660.91
184,201405,0,1246.0,12,0.0,4.0,12.0,457.0,1500.0,233.89,0.0,36,0.0,67.38,1500.0
