id,safra,y,VAR_6,VAR_20,VAR_19,VAR_25,VAR_44,VAR_9,VAR_57,VAR_33
1,201404,0,3277.0,8,45.0,12.0,11.0,500.0,45,18.0
2,201407,0,2443.0,12,18.0,9.0,9.0,1000.0,60,13.0
3,201405,0,1824.0,12,2.0,3.0,12.0,1893.35,31,2.0
4,201412,0,3796.0,12,11.0,0.0,6.0,3000.0,76,3.0
5,201403,1,437.0,12,0.0,0.0,0.0,2000.0,38,0.0
6,201405,0,140.0,10,0.0,0.0,0.0,400.0,33,0.0
7,201404,0,218.0,5,0.0,0.0,0.0,953.42,39,0.0
8,201409,0,301.0,9,0.0,0.0,0.0,800.0,35,0.0
9,201408,0,858.0,12,0.0,0.0,4.0,1000.0,49,0.0
10,201404,0,1716.0,12,7.0,12.0,12.0,1200.0,50,1.0
11,201403,0,1913.0,12,12.0,11.0,0.0,1000.0,52,3.0
12,201408,0,2941.0,12,5.0,0.0,0.0,1000.0,45,7.0
13,201411,1,489.0,12,0.0,0.0,0.0,1000.0,45,0.0
14,201401,0,1903.0,12,14.0,11.0,12.0,750.0,52,1.0
15,201412,0,1228.0,6,0.0,3.0,10.0,500.0,41,0.0
16,201402,1,1542.0,12,5.0,0.0,10.0,1500.0,42,1.0
17,201412,0,1100.0,12,0.0,0.0,12.0,2500.0,66,0.0
18,201404,0,407.0,12,0.0,0.0,0.0,600.0,45,0.0
19,201407,1,203.0,12,0.0,0.0,0.0,1985.5,51,0.0
20,201411,0,1466.0,12,0.0,6.0,6.0,2000.0,54,1.0
21,201406,0,101.0,12,0.0,0.0,0.0,600.0,27,0.0
22,201402,1,410.0,12,0.0,0.0,0.0,2500.0,68,0.0
23,201404,1,3418.0,12,41.0,0.0,4.0,3000.0,44,10.0
24,201401,0,210.0,12,0.0,0.0,0.0,1000.0,45,0.0
25,201401,0,628.0,12,0.0,0.0,0.0,2000.0,67,0.0
26,201402,1,275.0,12,0.0,0.0,0.0,1218.23,65,0.0
27,201401,0,887.0,5,0.0,0.0,6.0,500.0,55,0.0
28,201404,0,626.0,12,0.0,0.0,0.0,1200.0,56,0.0
29,201406,0,1302.0,8,0.0,6.0,9.0,2000.0,26,0.0
30,201405,0,4926.0,12,19.0,9.0,12.0,1000.0,46,16.0
31,201412,0,2521.0,7,28.0,7.0,12.0,500.0,35,6.0
32,201411,0,3758.0,12,66.0,11.0,12.0,600.0,32,10.0
33,201407,0,3975.0,12,39.0,6.0,11.0,2759.03,46,32.0
34,201408,0,1091.0,12,0.0,0.0,11.0,1000.0,36,0.0
35,201407,0,309.0,12,0.0,0.0,0.0,1735.39,32,0.0
36,201411,1,612.0,12,0.0,0.0,0.0,1600.0,41,0.0
37,201403,0,580.0,12,0.0,0.0,0.0,692.96,25,0.0
38,201405,0,2041.0,12,18.0,1.0,3.0,1000.0,55,2.0
39,201401,1,2653.0,12,16.0,0.0,0.0,1433.11,32,3.0
40,201408,1,878.0,12,0.0,0.0,4.0,1200.0,46,0.0
41,201410,0,1285.0,5,0.0,5.0,12.0,700.0,31,0.0
42,201401,0,4414.0,12,86.0,12.0,12.0,1000.0,69,3.0
43,201407,1,1622.0,12,5.0,6.0,0.0,2000.0,37,1.0
44,201401,1,495.0,6,0.0,0.0,0.0,200.0,32,0.0
45,201405,0,1793.0,6,10.0,10.0,12.0,700.0,35,1.0
46,201402,0,2157.0,10,9.0,0.0,3.0,1000.0,41,7.0
47,201411,0,254.0,8,0.0,0.0,0.0,600.0,64,0.0
48,201412,0,310.0,12,0.0,0.0,0.0,1200.0,57,0.0
49,201412,1,904.0,10,0.0,0.0,5.0,300.0,33,0.0
50,201406,0,1840.0,12,1.0,0.0,3.0,1000.0,30,1.0
51,201406,0,1016.0,10,0.0,0.0,9.0,1692.0,42,0.0
52,201405,0,875.0,12,0.0,0.0,2.0,2300.0,57,0.0
53,201401,1,2944.0,10,17.0,0.0,1.0,1300.0,31,4.0
54,201405,0,1378.0,4,0.0,4.0,0.0,1000.0,46,0.0
55,201409,1,2692.0,12,10.0,0.0,1.0,2500.0,39,3.0
56,201410,0,,12,,,,500.0,56,
57,201401,1,1626.0,10,5.0,4.0,6.0,800.0,66,1.0
58,201410,0,,12,,,,1200.0,70,
59,201411,0,2117.0,12,19.0,7.0,6.0,2289.18,44,3.0
60,201405,1,624.0,12,0.0,0.0,0.0,1878.36,35,0.0
61,201405,1,2125.0,12,19.0,5.0,9.0,1500.0,29,3.0
62,201410,0,241.0,6,0.0,0.0,0.0,320.0,41,0.0
63,201404,0,276.0,12,0.0,0.0,0.0,1000.0,73,0.0
64,201407,0,733.0,6,0.0,0.0,0.0,600.0,41,0.0
65,201406,0,694.0,6,0.0,0.0,0.0,1000.0,71,0.0
66,201403,1,995.0,10,0.0,0.0,9.0,1000.0,51,0.0
67,201410,0,2868.0,12,32.0,0.0,0.0,1500.0,47,4.0
68,201401,0,1930.0,12,12.0,12.0,10.0,500.0,37,4.0
69,201405,0,809.0,6,0.0,0.0,5.0,500.0,32,0.0
70,201404,0,226.0,12,0.0,0.0,0.0,1000.0,30,0.0
71,201407,0,4774.0,12,27.0,0.0,11.0,3000.0,70,12.0
72,201411,0,2899.0,12,20.0,0.0,6.0,700.0,63,6.0
73,201402,0,461.0,12,0.0,0.0,0.0,819.0,71,0.0
74,201408,0,3287.0,12,13.0,2.0,8.0,1960.3,35,13.0
75,201402,1,876.0,12,0.0,0.0,5.0,2668.0,38,0.0
76,201409,0,635.0,12,0.0,0.0,0.0,791.06,35,0.0
77,201408,1,341.0,5,0.0,0.0,0.0,390.0,31,0.0
78,201411,1,391.0,12,0.0,0.0,0.0,1000.0,47,0.0
79,201402,0,1206.0,12,0.0,1.0,12.0,1000.0,45,0.0
80,201405,0,1406.0,12,0.0,6.0,11.0,1000.0,44,0.0
81,201401,0,4632.0,12,48.0,9.0,11.0,900.0,69,22.0
82,201408,0,1045.0,6,0.0,0.0,8.0,1000.0,32,0.0
83,201404,0,1004.0,10,0.0,0.0,8.0,400.0,32,0.0
84,201407,0,1068.0,12,0.0,0.0,11.0,1500.0,55,0.0
85,201404,0,706.0,10,0.0,0.0,0.0,600.0,31,0.0
86,201402,1,875.0,12,0.0,0.0,4.0,500.0,32,0.0
87,201408,0,2444.0,12,29.0,11.0,11.0,1200.0,68,2.0
88,201404,0,999.0,12,0.0,0.0,9.0,713.41,68,0.0
89,201404,0,684.0,12,0.0,0.0,0.0,800.0,45,0.0
90,201402,1,191.0,12,0.0,0.0,0.0,2500.0,25,0.0
91,201410,1,2177.0,12,16.0,2.0,1.0,1000.0,74,3.0
92,201407,0,553.0,8,0.0,0.0,0.0,800.0,31,0.0
93,201409,0,3515.0,12,52.0,9.0,11.0,1500.0,54,13.0
94,201410,0,840.0,12,0.0,0.0,3.0,1085.98,24,0.0
95,201408,1,565.0,12,0.0,0.0,0.0,800.0,36,0.0
96,201408,0,604.0,12,0.0,0.0,0.0,1042.07,29,0.0
97,201407,0,1378.0,6,0.0,8.0,12.0,1000.0,47,0.0
98,201412,1,557.0,10,0.0,0.0,0.0,950.0,45,0.0
99,201407,0,3009.0,3,38.0,3.0,12.0,1000.0,46,1.0
100,201405,0,292.0,12,0.0,0.0,0.0,700.0,45,0.0
101,201412,0,3023.0,10,7.0,0.0,6.0,2000.0,39,28.0
102,201402,0,707.0,6,0.0,0.0,0.0,150.0,35,0.0
103,201410,0,2913.0,12,16.0,0.0,0.0,800.0,45,7.0
104,201401,1,529.0,12,0.0,0.0,0.0,1291.73,48,0.0
105,201408,1,165.0,12,0.0,0.0,0.0,800.0,30,0.0
106,201401,0,223.0,6,0.0,0.0,0.0,260.0,37,0.0
107,201402,0,1655.0,12,6.0,10.0,12.0,1000.0,55,1.0
108,201405,0,641.0,12,0.0,0.0,0.0,1550.0,52,0.0
109,201407,1,217.0,12,0.0,0.0,0.0,800.0,44,0.0
110,201406,1,244.0,12,0.0,0.0,0.0,1500.0,62,0.0
111,201406,0,683.0,12,0.0,0.0,0.0,1000.0,55,0.0
112,201410,1,2806.0,12,3.0,0.0,6.0,1000.0,32,2.0
113,201407,0,1170.0,12,0.0,2.0,12.0,1000.0,49,0.0
114,201401,0,210.0,12,0.0,0.0,0.0,1294.58,32,0.0
115,201402,0,801.0,12,0.0,0.0,3.0,1148.0,58,0.0
116,201412,1,1192.0,12,0.0,2.0,10.0,1539.93,31,0.0
117,201403,1,987.0,12,0.0,0.0,10.0,1000.0,45,0.0
118,201408,0,157.0,4,0.0,0.0,0.0,700.0,22,0.0
119,201406,0,600.0,12,0.0,0.0,0.0,2000.0,29,0.0
120,201405,0,1614.0,12,3.0,8.0,12.0,1380.0,40,2.0
121,201404,0,218.0,12,0.0,0.0,0.0,153.78,38,0.0
122,201402,1,357.0,12,0.0,0.0,0.0,1275.0,54,0.0
123,201411,0,792.0,12,0.0,0.0,2.0,1000.0,38,0.0
124,201405,0,2450.0,12,17.0,6.0,10.0,1000.0,31,11.0
125,201405,0,455.0,12,0.0,0.0,0.0,1776.05,48,0.0
126,201404,1,418.0,12,0.0,0.0,0.0,1200.0,47,0.0
127,201412,0,1570.0,12,1.0,4.0,12.0,1000.0,37,1.0
128,201402,0,1915.0,12,9.0,11.0,12.0,1500.0,28,6.0
129,201408,0,444.0,12,0.0,0.0,0.0,800.0,37,0.0
130,201408,0,511.0,10,0.0,0.0,0.0,500.0,33,0.0
131,201401,0,479.0,12,0.0,0.0,0.0,250.0,57,0.0
132,201408,0,301.0,12,0.0,0.0,0.0,3000.0,73,0.0
133,201407,0,596.0,12,0.0,0.0,0.0,2400.0,41,0.0
134,201406,1,177.0,12,0.0,0.0,0.0,919.0,53,0.0
135,201411,0,900.0,12,0.0,0.0,3.0,1000.0,24,0.0
136,201407,0,2916.0,12,23.0,7.0,3.0,1200.0,33,16.0
137,201405,0,805.0,12,0.0,0.0,6.0,1000.0,59,0.0
138,201406,0,1455.0,12,0.0,9.0,7.0,3000.0,55,0.0
139,201411,0,330.0,10,0.0,0.0,0.0,610.0,62,0.0
140,201408,1,1133.0,10,0.0,0.0,11.0,700.0,30,0.0
141,201401,0,730.0,12,0.0,0.0,0.0,2000.0,48,0.0
142,201408,0,252.0,12,0.0,0.0,0.0,1000.0,32,0.0
143,201406,0,516.0,4,0.0,0.0,0.0,400.0,30,0.0
144,201409,1,457.0,12,0.0,0.0,0.0,1400.0,44,0.0
145,201409,0,2693.0,3,8.0,2.0,3.0,910.49,45,5.0
146,201405,0,704.0,5,0.0,0.0,0.0,500.0,33,0.0
147,201402,1,2706.0,12,28.0,1.0,0.0,568.83,45,9.0
148,201408,0,1115.0,10,0.0,0.0,12.0,1000.0,44,0.0
149,201408,0,627.0,12,0.0,0.0,0.0,807.0,47,0.0
150,201405,1,876.0,12,0.0,0.0,4.0,1000.0,37,0.0
151,201408,0,4225.0,3,52.0,0.0,12.0,560.0,57,6.0
152,201411,0,1127.0,5,0.0,0.0,12.0,400.0,34,0.0
153,201408,0,1258.0,12,0.0,5.0,11.0,2252.69,57,0.0
154,201409,0,1786.0,12,8.0,8.0,7.0,2432.26,45,2.0
